id,customer_id,action,details,user_id,date
40,1,modificacion,"{""document_type"": ""CC"", ""document_number"": ""10203040"", ""full_name"": ""Ana Garc\u00eda P\u00e9rez PEREZ"", ""phone"": ""3101234567"", ""email"": ""ana.garcia@email.com"", ""address"": ""Calle 10 # 20-30"", ""is_active"": true}",1,2025-05-31 10:35:52.177513
41,5,modificacion,"{""document_type"": ""CC"", ""document_number"": ""1001144682"", ""full_name"": "" Alejandro Ruiz "", ""phone"": ""3013081507"", ""email"": ""bruiz4@gmail.com"", ""address"": ""nMNNN"", ""is_active"": true}",1,2025-05-31 15:02:33.871525
42,1,inactivacion,"{""inactivated"": true}",1,2025-05-31 16:15:50.976855
43,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas "", ""phone"": ""604-9876543"", ""email"": null, ""address"": null, ""is_active"": false}",1,2025-05-31 22:20:00.783498
44,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas "", ""phone"": ""604-9876543"", ""email"": null, ""address"": null, ""is_active"": true}",1,2025-05-31 22:20:03.274516
45,2,inactivacion,"{""inactivated"": true}",1,2025-05-31 22:20:05.489015
46,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas "", ""phone"": ""604-9876543"", ""email"": null, ""address"": null, ""is_active"": true}",1,2025-05-31 22:20:09.375546
47,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas "", ""phone"": ""604-9876543"", ""email"": null, ""address"": null, ""is_active"": false}",1,2025-06-01 08:51:43.999565
48,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas "", ""phone"": ""604-9876543"", ""email"": null, ""address"": null, ""is_active"": true}",1,2025-06-01 08:51:46.876007
49,5,inactivacion,"{""inactivated"": true}",8,2025-06-01 13:39:52.875212
50,5,modificacion,"{""document_type"": ""CC"", ""document_number"": ""1001144682"", ""full_name"": "" Alejandro Ruiz "", ""phone"": ""3013081507"", ""email"": ""bruiz4@gmail.com"", ""address"": ""nMNNN"", ""is_active"": true}",8,2025-06-01 13:40:07.285910
51,5,inactivacion,"{""inactivated"": true}",8,2025-06-01 13:45:47.369618
52,5,modificacion,"{""document_type"": ""CC"", ""document_number"": ""1001144682"", ""full_name"": "" Alejandro Ruiz "", ""phone"": ""3013081507"", ""email"": ""bruiz4@gmail.com"", ""address"": ""nMNNN"", ""is_active"": true}",8,2025-06-01 13:46:18.465351
53,5,modificacion,"{""document_type"": ""CC"", ""document_number"": ""1001144682"", ""full_name"": "" Alejandro Ruiz "", ""phone"": ""3013081507"", ""email"": ""bruiz4@gmail.com"", ""address"": ""nMNNN"", ""is_active"": false}",8,2025-06-01 13:49:10.747473
54,5,modificacion,"{""document_type"": ""CC"", ""document_number"": ""1001144682"", ""full_name"": "" Alejandro Ruiz "", ""phone"": ""3013081507"", ""email"": ""bruiz4@gmail.com"", ""address"": ""nMNNN"", ""is_active"": true}",8,2025-06-01 13:51:02.364376
55,5,modificacion,"{""document_type"": ""CC"", ""document_number"": ""1001144682"", ""full_name"": "" Alejandro Ruiz "", ""phone"": ""3013081507"", ""email"": ""bruiz4@gmail.com"", ""address"": ""nMNNN"", ""is_active"": false}",8,2025-06-01 14:32:02.394220
56,5,modificacion,"{""document_type"": ""CC"", ""document_number"": ""1001144682"", ""full_name"": "" Alejandro Ruiz "", ""phone"": ""3013081507"", ""email"": ""bruiz4@gmail.com"", ""address"": ""nMNNN"", ""is_active"": true}",8,2025-06-01 14:32:18.270516
57,2,inactivacion,"{""inactivated"": true}",8,2025-06-02 11:37:16.813412
58,2,modificacion,"{""document_type"": ""NIT"", ""document_number"": ""900123456-7"", ""full_name"": ""Isabela casillas "", ""phone"": ""604-9876543"", ""email"": null, ""address"": null, ""is_active"": true}",8,2025-06-02 11:37:25.412661
